post_author,post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,total_sales,tax:product_type,tax:product_visibility,product_cat,tax:product_tag,tax:product_shipping_class
12,(5) Geonosis Padme - 'Aggressive Negotiator',geonosis-padme-aggressive-negotiator,,122,"<p>Printed on all 4 sides. Boots do not wrap around onto back of legs.</p><p>Includes custom droid blaster, chain and blister packaging.</p>","<p>UV Printed custom figure, based off her appearence in the Geonosis arena.</p>",draft,,0,2020-03-29 02:22:04,open,,,,no,no,0,32,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/03/P5.jpg,,https://grailcavern.com/?post_type=product&p=122,5,simple,outofstock,"Limited edition,Minifigures,Star Wars,Uv printed",,
14,Savage Opress - Classic,savage-opress-classic,,155,<p><br></p>,"<p>This figure is made with <strong>official</strong> Lego parts, featuring high quality UV printing. Included is a chrome, double bladed red lightsaber, collectors card and plastic box. This figure is designed to mimic the classic style of the 1990s - early 2000s figures.</p>",publish,,0,2020-03-29 18:10:13,open,,,,no,no,0,25,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/03/DSC00059-scaled-e1585505400263.jpg,,https://grailcavern.com/product/savage-opress-classic/,4,simple,outofstock,"Minifigures,Star Wars,Uv printed",,
14,Asajj Ventress - Classic,asajj-ventress-classic,,156,<p><br></p>,"<p>This figure is made with <strong>official</strong> Lego parts, featuring high quality UV printing. Included are two  chrome, bent red lightsabers, a collectors card and plastic box. This figure is designed to mimic the classic style of the 1990s - early 2000s figures.</p>",publish,,0,2020-03-29 18:16:21,open,,,,no,no,0,25,,,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/03/DSC00072-1-scaled-e1585505725628.jpg,,https://grailcavern.com/product/asajj-ventress-classic/,5,simple,outofstock,"Minifigures,Star Wars,Uv printed",,
14,Cad Bane - Classic,cad-bane-classic,,157,<p><br></p>,"<p>This figure is made with <strong>official</strong> Lego parts, featuring high quality UV printing. Included are two megaphone-style blasters, a collectors card and plastic box. This figure is designed to mimic the classic style of the 1990s - early 2000s figures.</p>",publish,,0,2020-03-29 18:21:05,open,,,,no,no,0,25,,,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/03/DSC00086-1-1-scaled-e1585506044591.jpg,,https://grailcavern.com/product/cad-bane-classic/,5,simple,outofstock,"Minifigures,Star Wars,Uv printed",,
9,Telltale Batman - Pad Printed with Custom Helmet,telltale-batman-pad-printed-with-custom-helmet,,187,"<p align=""left"" style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px; background-color: transparent;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px; background-color: transparent;""><span style=""box-sizing: border-box; font-family: Arial, sans-serif;"" data-mce-style=""box-sizing: border-box; font-family: Arial, sans-serif;""><span style=""box-sizing: border-box; font-size: small;"" data-mce-style=""box-sizing: border-box; font-size: small;""><span style=""box-sizing: border-box; background-color: transparent;"" data-mce-style=""box-sizing: border-box; background-color: transparent;"">Living in the most popular place for crime isn’t easy, thankfully the Point and Click Bat is there to make the city a better place!</span></span></span></p><p align=""left"" style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px; background-color: transparent;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px; background-color: transparent;""><br style=""box-sizing: border-box;"" data-mce-style=""box-sizing: border-box;""></p><p style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;""><span style=""box-sizing: border-box; font-family: Arial, sans-serif;"" data-mce-style=""box-sizing: border-box; font-family: Arial, sans-serif;""><span style=""box-sizing: border-box; font-size: small;"" data-mce-style=""box-sizing: border-box; font-size: small;"">High quality PAD printed with custom molded helmet.</span></span></p><p style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;""><span style=""box-sizing: border-box; font-family: Arial, sans-serif;"" data-mce-style=""box-sizing: border-box; font-family: Arial, sans-serif;""><span style=""box-sizing: border-box; font-size: small;"" data-mce-style=""box-sizing: border-box; font-size: small;"">Produced by Krex Customs</span></span></p><p align=""left"" style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px; background-color: transparent;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px; background-color: transparent;""><br style=""box-sizing: border-box;"" data-mce-style=""box-sizing: border-box;""></p><p align=""left"" style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px; background-color: transparent;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px; background-color: transparent;""><br style=""box-sizing: border-box;"" data-mce-style=""box-sizing: border-box;""></p><p style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;""><span style=""box-sizing: border-box; font-family: Arial, sans-serif;"" data-mce-style=""box-sizing: border-box; font-family: Arial, sans-serif;""><span style=""box-sizing: border-box; font-size: small;"" data-mce-style=""box-sizing: border-box; font-size: small;"">Brand New</span></span></p><p style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;""><span style=""box-sizing: border-box; font-family: Arial, sans-serif;"" data-mce-style=""box-sizing: border-box; font-family: Arial, sans-serif;""><span style=""box-sizing: border-box; font-size: small;"" data-mce-style=""box-sizing: border-box; font-size: small;"">100% LEGO<span style=""box-sizing: border-box; color: #000000;"" data-mce-style=""box-sizing: border-box; color: #000000;""><span style=""box-sizing: border-box;"" data-mce-style=""box-sizing: border-box;"">®</span></span> Elements</span></span></p><p style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;"" data-mce-style=""box-sizing: border-box; margin: 0px 0px 0in; color: #3d6270; font-family: Conv_MyriadPro-Regular; font-size: 15px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); -webkit-text-size-adjust: 100%; line-height: 15px;""><span style=""box-sizing: border-box; font-family: Arial, sans-serif;"" data-mce-style=""box-sizing: border-box; font-family: Arial, sans-serif;""><span style=""box-sizing: border-box; font-size: small;"" data-mce-style=""box-sizing: border-box; font-size: small;"">PAD Printed</span></span></p>",<p>Custom Pad Printed Minifigure with Custom Helmet</p>,publish,,0,2020-03-29 22:15:55,open,,,,no,no,0,56,19,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/03/6FD27926-D589-4BDA-9A56-55E5541B124B.jpeg,,https://grailcavern.com/product/telltale-batman-pad-printed-with-custom-helmet/,10,simple,outofstock,"Helmets,Limited edition,Minifigures,Resin casted,Superheroes,Superheros",,
13,Brix Tape Connoisseur (Pre Order),brix-tape-connoisseur,,189,<p>Do your sets need repairing? Do you happen to have a boat that is split in two? Brix Connoisseur can help!</p>,<p>Do your sets need repairing? Do you happen to have a boat that is split in two? Brix Connoisseur can help!</p>,publish,,0,2020-03-30 02:56:10,open,,,,no,no,0,25,,,,,,,,onbackorder,no,yes,,no,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/12/C35B98C1-8ABB-4A45-9C92-14B9F810768E.jpg,,https://grailcavern.com/product/brix-tape-connoisseur/,0,simple,,"Limited edition,Minifigures,Pad printed",,
12,(SW) Mustafar Pair: Anakin & Obi Wan,mustafar-pair-anakin-obi-wan,,211,<blockquote><p>UV printed on all 4 sides. Boot print and lava texturing wraps around all sides.</p></blockquote><p>Anakin uses a brown dyed hairpiece with gauntlet arm print.</p>,<p> UV printed 'Lava Reflection' Anakin & Obi Wan</p>,draft,,0,2020-03-30 10:13:05,open,,,,no,no,0,50,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/93831251_659289854855946_8854914102565273600_n.jpg,,https://grailcavern.com/?post_type=product&p=211,3,simple,outofstock|rated-5,"Limited edition,Minifigures,Star Wars,Uv printed",,
12,2/3 Yellow Venom - Exclusive,2-3-yellow-venom-exclusive,,297,<p>A limited edition re-release of my very first custom figure design 'Corruption'. Only 3 yellow varients will ever exist. </p>,<p>Exclusive 2 of 3 Yellow Venom. ONLY INCLUDES 1 DOUBLE SIDED HEAD.</p>,draft,,0,2020-03-31 04:50:41,open,,,,no,no,0,50,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/03/91032421_689637231846081_8608851784045166592_n-1.jpg,,https://grailcavern.com/?post_type=product&p=297,0,simple,outofstock,"Minifigures,Superheroes,Superheros,Uv printed",,
24,Custom Big Figs,custom-big-figs,,327,"<p><span id=""_mce_caret"" data-mce-bogus=""1"" data-mce-type=""format-caret""><strong></strong></span><b>Included in this listing is x1 of any Big Fig you want me to customize for you!!! If you believe the pricing is too high on the item you want made, drop me a message with a description of what you want and I'll make a private listing. I'll try my best to accommodate all fair offers.</b><br data-mce-bogus=""1""></p><p dir=""ltr"">These custom models are painted and sculpted by hand over a hulk figure.</p><p dir=""ltr"">Unofficial custom figure, that is primairaly designed for display and light play.</p>",<p><b>Custom Sculpted and Painted big figs!</b></p>,publish,,0,2020-03-31 14:42:13,open,,,,no,no,10,79.99,,.25,10.16,10.16,10.16,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/03/Snapchat-3443772382.jpg,,https://grailcavern.com/product/custom-big-figs/,0,simple,,"Handmade,Painted,Superheroes,Superheros",Big fig,
15,Custom Lego Scream/Ghostface Mask Cast,custom-lego-scream-ghostface-mask-cast,,402,<p><br></p>,<p>This was casted from my ghostface/scream sculpted removable LEGO mask. Fits flush on the head 100% LEGO compatible.</p>,publish,,0,2020-04-02 00:02:03,open,,,,no,no,0,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/gffig.png,,https://grailcavern.com/product/custom-lego-scream-ghostface-mask-cast/,0,simple,,"Handmade,Helmets,Resin casted",,
